feature,MI_Score
model_size_bytes,0.026787105395356114
word_count_content,0.026603718993517766
num_code_blk,0.014968265414934567
num_arxiv,0.01367958511188605
num_github_links,0.013147021574047013
has_pipeline_name,0.011486776766084894
has_bibtex,0.010977146920458702
num_inline_code,0.010545651833552272
has_supported_additional_frameworks_Libraries,0.010530509314019998
has_config,0.010510886244673223
word_count_yaml,0.0094486123387163
num_root_file,0.008920843913038379
num_table,0.008609724379838202
has_safetensors,0.006565039384690552
has_license,0.006542711406079205
has_widgetData,0.005935478280439721
num_huggingface_links,0.0038836135944861905
num_lists,0.003582246842933401
num_modules,0.0024133355997670858
num_static_img,0.0014636575757347448
has_model_index_result,0.0009326482721521145
num_dataset,0.0008883929751324349
has_space,0.0007111360832270375
has_quantized,0.0002397553246911155
has_video,0.00022192306151369579
