,community,company,non-profit,organization or individual,university
community,,0.6946106575098062,0.724054387928499,0.6801456742938744,0.6362331205418782
company,0.6930522584951377,,0.7034170853507373,0.6947044880689941,0.6649836881458563
non-profit,0.63412340263857,0.6973755565232728,,0.6139030422133391,0.6524477006713086
organization or individual,0.6979419093633187,0.6830667494238778,0.6952647947064461,,0.6285826205980252
university,0.646295007798711,0.6337315067138435,0.6650152588617191,0.626922926824944,
