Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
others,Audio,0.6893655915757314,0.017080783883729328,0.6557605058442273,0.7201020212033257,57339,2106
others,Computer Vision,0.7748533639480514,0.008805316727046014,0.7577371122940388,0.7919096850347811,51658,7787
others,Multimodal,0.7634667178510625,0.012077438586271545,0.7392437704257776,0.7869278326892075,57577,1868
others,NLP,0.69060469100975,0.00464409746400254,0.6816167857014848,0.6997638193348861,31922,27523
others,Other,0.7111753966524912,0.007764752506795508,0.6964015604795769,0.7267803047455598,39284,20161
