Group,N,AUC_mean,AUC_std
Audio,2106,0.7914091096716834,0.03210795907760249
Computer Vision,7787,0.8778801807970922,0.020525145641112703
Multimodal,1868,0.8462752655018843,0.032610029168959435
NLP,27523,0.8397439235442976,0.00988145911775203
Other,20161,0.8020062431215343,0.012353552968603994
