k,mean_auc
5,0.7306450090090671
6,0.7446410052982375
7,0.7536776391870186
8,0.7604165691090308
9,0.761102987867665
10,0.7713091794350531
11,0.7801937227106768
12,0.7941867188485912
13,0.7979066922377755
14,0.802192179130101
15,0.8041181996147658
16,0.8115198283054748
17,0.8223179155394591
18,0.8239576634988476
19,0.8255993067313737
20,0.8296754120035296
21,0.8311662737824405
22,0.8318689799510507
23,0.83278626758767
24,0.8325217145291702
25,0.8318359183403079
26,0.8329194995474591
