Group,N,AUC_mean,AUC_std
community,5314,0.8623843192410743,0.0287430574614289
company,9436,0.8672892934378174,0.009883295461450914
non-profit,2334,0.8273534979358861,0.025168147557009895
organization or individual,39959,0.8150477840580652,0.009442624060304512
university,2353,0.8233080587943288,0.03979807906031505
