Group,N,AUC_mean,AUC_std
Audio,2089,0.8274489601038069,0.023490918579734534
Computer Vision,7446,0.8468011142164966,0.021822373461301454
Multimodal,1912,0.8195664286735715,0.0360452046612564
NLP,27955,0.836624590104441,0.010380668515125074
Other,20034,0.8170141705946177,0.021236518737750534
