,community,company,non-profit,organization or individual,university
community,,0.6899272145565374,0.6414092956667438,0.6786472106105013,0.6199127294655631
company,0.6680697700587394,,0.6673164490628756,0.6381364319751791,0.6434197366527292
non-profit,0.6584012088189634,0.6711844667871353,,0.6722556299204724,0.6290345422728205
organization or individual,0.6869301214599919,0.6678636213705466,0.6501968672432351,,0.6964702579544766
university,0.6541202636767182,0.6573679564955489,0.6468380081096666,0.6505286550929769,
