Group,N,AUC_mean,AUC_std
community,5276,0.8562189797026258,0.022094587632364035
company,9249,0.8570631527692797,0.012737764298206599
non-profit,2275,0.8292880593296106,0.023688487423825417
organization or individual,40257,0.8176138454670061,0.013089765960990237
university,2342,0.7525272622114728,0.02919347430981031
