Feature,PermImportance_mean,PermImportance_std
word_count_content,0.03908982233505551,0.0028278343961857144
model_size_bytes,0.0313753004304835,0.0021871264343609202
num_github_links,0.027064633056432832,0.0016299295753269517
has_supported_additional_frameworks_Libraries,0.02300447337280914,0.0023416416538981594
word_count_yaml,0.02273105641149804,0.002147165543857648
num_code_blk,0.021736093555091048,0.0018467390182686871
num_arxiv,0.015373818010043401,0.0014919863639495303
has_config,0.013536531753350874,0.0010996460660318572
num_root_file,0.01352072836811501,0.0020709963666381923
has_quantized,0.012745455710760637,0.0015366291173565195
num_lists,0.00894147821886409,0.0012625343702689206
has_safetensors,0.008899013816538267,0.0011825046370091679
num_huggingface_links,0.00870496391273539,0.00097009488530737
num_dataset,0.00658173904890087,0.0011762638284161693
num_table,0.006136991552933294,0.0008760785889770783
has_pipeline_name,0.006136605815028554,0.0011420196527159605
num_inline_code,0.006104715378836156,0.0008714796890844917
has_license,0.005472962146649222,0.001207653988956143
num_modules,0.0042298641846509446,0.0008062036635329904
has_widgetData,0.004072203014452695,0.000983709056691414
has_bibtex,0.00400231086677086,0.0009381545478773486
has_model_index_result,0.0008577659722197299,0.0002564123497299575
num_static_img,0.0008032487439780096,0.000545285903638633
has_video,9.584459391290823e-05,5.991247184365643e-05
has_space,1.0620254681955228e-05,2.4729689027991264e-06
