sort_by,Model,AUC_main,AUC_robust,delta_AUC,best_params_main,best_params_robust,params_changed,noticeable_drop
downloads,RandomForest,0.8609902509438716,0.8874424192625004,0.026452168318628844,"{'clf__max_depth': 20, 'clf__n_estimators': 200}","{'clf__max_depth': 20, 'clf__n_estimators': 200}",False,True
downloads,KNN,0.8067603551557576,0.8138709143445585,0.00711055918880088,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}","{'clf__n_neighbors': 11, 'clf__weights': 'distance'}",False,False
downloads,DecisionTree,0.7797951049800238,0.7996507615542623,0.01985565657423849,"{'clf__max_depth': 10, 'clf__min_samples_split': 10}","{'clf__max_depth': 10, 'clf__min_samples_split': 10}",False,False
downloads,SVM,0.7220793871017311,0.7624592710465983,0.040379883944867134,{'clf__C': 10},{'clf__C': 10},False,True
downloads,NaiveBayes,0.6838911717807714,0.7126894523224345,0.028798280541663113,{'clf__var_smoothing': 1e-07},{'clf__var_smoothing': 1e-07},False,True
likes,RandomForest,0.847747999398609,0.8718957742944592,0.024147774895850183,"{'clf__max_depth': None, 'clf__n_estimators': 200}","{'clf__max_depth': None, 'clf__n_estimators': 200}",False,True
likes,KNN,0.7823343240705762,0.7846170101728105,0.002282686102234255,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}","{'clf__n_neighbors': 11, 'clf__weights': 'distance'}",False,False
likes,DecisionTree,0.757775997471096,0.7737507758788459,0.015974778407749857,"{'clf__max_depth': 10, 'clf__min_samples_split': 10}","{'clf__max_depth': 5, 'clf__min_samples_split': 2}",True,False
likes,SVM,0.7242643586160376,0.7594438627039934,0.03517950408795589,{'clf__C': 10},{'clf__C': 10},False,True
likes,NaiveBayes,0.6841891484756235,0.7111630793859631,0.026973930910339616,{'clf__var_smoothing': 1e-07},{'clf__var_smoothing': 1e-07},False,True
