Group,N_main,AUC_mean_main,AUC_std_main,N_robust,AUC_mean_robust,AUC_std_robust,delta_AUC,noticeable
Audio,2164,0.8241967688266095,0.0327106760982389,2172,0.8465978928884986,0.0634871315150822,0.0224011240618891,False
Computer Vision,7521,0.851702292817339,0.0174177359549483,7422,0.8655171911088644,0.0269377837774767,0.01381489829152538,False
Multimodal,1942,0.8324120896501987,0.0412621301166853,1897,0.8540284955704678,0.0543057250945922,0.021616405920269033,False
NLP,28302,0.8484424108880116,0.0175559228766888,28344,0.8746202240806958,0.0128619415039102,0.026177813192684196,False
Other,20103,0.8157857068798349,0.0221709492249215,20198,0.8366748802181959,0.0299819269242857,0.020889173338361045,False
