Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
others,community,0.6999995831387278,0.00819138285148978,0.6837460566917455,0.7165967904623701,54665,5332
others,company,0.7083254073628253,0.0051374871725766965,0.697882408184872,0.7182669457769728,49898,10099
others,non-profit,0.6954120059228821,0.011333940533662695,0.672062085774576,0.7179708366988253,57558,2439
others,organization or individual,0.7100774845803042,0.003082733862895169,0.7039860159431097,0.7162530503698111,20358,39639
others,university,0.6566830875444869,0.01095068796567949,0.6350773137543504,0.6780510060402005,57509,2488
