Group,N,AUC_mean,AUC_std
community,5332,0.8529606108013749,0.013731272433075524
company,10099,0.8620023123429059,0.01274158298324502
non-profit,2439,0.8400147899075969,0.019408173163303365
organization or individual,39639,0.8404917865398494,0.007166106725994694
university,2488,0.8152932869378349,0.026306325771751512
