,community,company,non-profit,organization or individual,university
community,,0.6785073204230045,0.6878184131628392,0.6786980230397671,0.628623266025403
company,0.6783051271009863,,0.6807531856211082,0.660291871597553,0.6360011980477895
non-profit,0.6143955041107766,0.6763287189516392,,0.6061476826572503,0.6240003993436005
organization or individual,0.703670060757095,0.6479404867842059,0.653868867931937,,0.6178716137375532
university,0.6290509274568765,0.6369842696601379,0.6455872740147707,0.6112412516635154,
