Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
community,company,0.6985311184689592,0.0051150075744060474,0.6882331069481825,0.7081193461905811,5332,10099
community,non-profit,0.6487144555555895,0.01211927069456179,0.6239110230515857,0.671271971978965,5332,2439
community,organization or individual,0.6758006546677694,0.0034456810651390776,0.6687465706342679,0.682458034190232,5332,39639
community,university,0.6357284689645656,0.011716680178582111,0.6131881912473863,0.6590034899508241,5332,2488
company,community,0.6801155676943005,0.008332577985981037,0.664271804290011,0.6959500740124471,10099,5332
company,non-profit,0.6885446831593071,0.011445134586317136,0.6647825357168464,0.710922190477213,10099,2439
company,organization or individual,0.6879168120701479,0.0032868558672713623,0.6816898165413341,0.6943158039594701,10099,39639
company,university,0.6492325865856434,0.01058796000291256,0.6284334502539703,0.669766359256344,10099,2488
non-profit,community,0.6544323396894454,0.008597120816925291,0.6377045596289049,0.6712609132298927,2439,5332
non-profit,company,0.7055521305260547,0.005122158520800517,0.69512833325188,0.7153503259686604,2439,10099
non-profit,organization or individual,0.6797643236153587,0.0033897318484103446,0.6733633464599418,0.6862417707753403,2439,39639
non-profit,university,0.6479389995116377,0.010908598307998838,0.625926919048497,0.6685240196414345,2439,2488
organization or individual,community,0.6755807241957302,0.008385003453536616,0.6587807430374494,0.6921979903161205,39639,5332
organization or individual,company,0.6860109506448536,0.005297354434920511,0.6753200333504225,0.6957511858485536,39639,10099
organization or individual,non-profit,0.6683940622229095,0.011706994857317268,0.6441484017730228,0.6904057824651215,39639,2439
organization or individual,university,0.6536570203845651,0.011334567290130031,0.6323123561107955,0.6752965157095525,39639,2488
university,community,0.6548331429231028,0.008906526511920664,0.6368186091601229,0.6718462021572843,2488,5332
university,company,0.6724555128334753,0.0054565893887142825,0.6622722116182039,0.6830608030216908,2488,10099
university,non-profit,0.6644147675790074,0.011108535831807811,0.6421025450184994,0.6861052278586606,2488,2439
university,organization or individual,0.6402135675628059,0.003387952356308326,0.6334521997260733,0.646731629796609,2488,39639
