Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
community,company,0.6785073204230045,0.005303306288604673,0.6681809385984409,0.6888628950970427,5319,9822
community,non-profit,0.6878184131628392,0.011089749441854393,0.6664483124968932,0.71121051187947,5319,2347
community,organization or individual,0.6786980230397671,0.003746801526773084,0.671384045652952,0.6861434600707559,5319,40085
community,university,0.628623266025403,0.012708543636390457,0.6036249093264839,0.6544177163278302,5319,2421
company,community,0.6783051271009863,0.008228940930075816,0.6613678946074665,0.6939673004116295,9822,5319
company,non-profit,0.6807531856211082,0.01113525863689316,0.6586725111038665,0.7029267566431129,9822,2347
company,organization or individual,0.660291871597553,0.003730630729383018,0.6530334192340256,0.6675081677802284,9822,40085
company,university,0.6360011980477895,0.012434338079221513,0.6119276227366907,0.659844807557837,9822,2421
non-profit,community,0.6143955041107766,0.00899039081786008,0.5961253615215449,0.6318582632549397,2347,5319
non-profit,company,0.6763287189516392,0.005411399742099443,0.6656755583027621,0.6873847333849643,2347,9822
non-profit,organization or individual,0.6061476826572503,0.003802979296206785,0.5984961008557668,0.6132512081630328,2347,40085
non-profit,university,0.6240003993436005,0.01257867249735765,0.5986621711421496,0.6481601397840651,2347,2421
organization or individual,community,0.703670060757095,0.007822344196478155,0.6883371263031621,0.7185587551923186,40085,5319
organization or individual,company,0.6479404867842059,0.005409746233889617,0.6374475258285379,0.6592107971236879,40085,9822
organization or individual,non-profit,0.653868867931937,0.012074813730686433,0.6302596419933143,0.677161790593464,40085,2347
organization or individual,university,0.6178716137375532,0.013049825836018084,0.5916017604166987,0.6438932101976996,40085,2421
university,community,0.6290509274568765,0.00857822502861448,0.6125103140447555,0.6462328397592786,2421,5319
university,company,0.6369842696601379,0.005641082018703643,0.6256093008353372,0.647588388175727,2421,9822
university,non-profit,0.6455872740147707,0.011650750272787747,0.6227749816754705,0.6690257409870213,2421,2347
university,organization or individual,0.6112412516635154,0.0038727016614634813,0.6038514259906469,0.6188487552382002,2421,40085
