,community,company,non-profit,organization or individual,university
community,,0.6985311184689592,0.6487144555555895,0.6758006546677694,0.6357284689645656
company,0.6801155676943005,,0.6885446831593071,0.6879168120701479,0.6492325865856434
non-profit,0.6544323396894454,0.7055521305260547,,0.6797643236153587,0.6479389995116377
organization or individual,0.6755807241957302,0.6860109506448536,0.6683940622229095,,0.6536570203845651
university,0.6548331429231028,0.6724555128334753,0.6644147675790074,0.6402135675628059,
