Feature,MI_Score
model_size_bytes,0.057684697428053155
word_count_content,0.037102285453406436
num_root_file,0.021569793517260294
num_code_blk,0.020981459560556193
num_arxiv,0.01699302128261726
has_supported_additional_frameworks_Libraries,0.016473820823735164
has_bibtex,0.015449455567573267
num_table,0.015196272532383759
num_github_links,0.015171576827202493
has_pipeline_name,0.013365292857536293
word_count_yaml,0.01219635795852847
num_inline_code,0.012179090703001716
num_model_files,0.011990636856736625
num_huggingface_links,0.01073664393901863
has_license,0.009678375198722389
has_config,0.009470858484248446
has_widgetData,0.008714889114074698
num_modules,0.00665516426381263
num_lists,0.005969950251508482
has_safetensors,0.004249714532062132
num_dataset,0.0032749664587226057
num_static_img,0.0021877482027368167
has_quantized,0.001961723828225903
has_video,0.00176821423708029
has_model_index_result,0.001388214770823737
num_animated_img,0.0005105482797027605
has_space,0.0
