Feature,Test_Type,Test_Applied,p_value,Effect_Size_Measure,Effect_Size_Value,Effect_Size_Interpretation,p_value_fdr_corrected,significant_after_fdr
num_arxiv,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.18314181773790655,small,0.0,True
num_dataset,Continuous,Mann-Whitney U,1.2761328994861014e-20,Cliff's Delta,0.038795663489233474,negligible,1.720005212350832e-20,True
num_model_files,Continuous,Mann-Whitney U,4.550046305705672e-58,Cliff's Delta,0.08997550168251624,negligible,7.423759761940833e-58,True
model_size_bytes,Continuous,Mann-Whitney U,1.2670500640576293e-16,Cliff's Delta,0.04684045791074116,negligible,1.5711420794314605e-16,True
num_root_file,Continuous,Mann-Whitney U,1.150159322546845e-272,Cliff's Delta,0.19938816729636433,small,4.4568673748690245e-272,True
num_modules,Continuous,Mann-Whitney U,3.2980815932965506e-21,Cliff's Delta,-0.039756464698952755,negligible,4.64729679055423e-21,True
num_lists,Continuous,Mann-Whitney U,2.748090109748588e-80,Cliff's Delta,0.10047730962041289,negligible,4.732821855678123e-80,True
num_static_img,Continuous,Mann-Whitney U,0.036096735930640535,Cliff's Delta,-0.008736012068765685,negligible,0.03858616599482264,True
num_animated_img,Continuous,Mann-Whitney U,0.40611925367150814,Cliff's Delta,0.0005790122950671688,negligible,0.4196565621272251,False
num_github_links,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.21547804972865195,small,0.0,True
num_huggingface_links,Continuous,Mann-Whitney U,9.681510238684315e-230,Cliff's Delta,0.1747964118355237,small,3.0012681739921376e-229,True
num_code_blk,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.2467205579666672,small,0.0,True
num_inline_code,Continuous,Mann-Whitney U,3.1189820285577867e-195,Cliff's Delta,0.14003001857764305,negligible,8.05737024044095e-195,True
num_table,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.2044555739811722,small,0.0,True
word_count_yaml,Continuous,Mann-Whitney U,3.0078344131001737e-183,Cliff's Delta,0.16308699144117225,small,7.17252821585426e-183,True
word_count_content,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.3031689545772831,small,0.0,True
has_dataset,Binary,Chi-square,7.050468212445179e-17,Cramér's V,0.03401141702159516,negligible,9.106854774408357e-17,True
match_huggingface_dataset,Binary,Chi-square,0.02515225999955888,Cramér's V,0.009124347769286875,negligible,0.027847144999511617,True
has_safetensors,Binary,Chi-square,1.0479143110424632e-48,Cramér's V,0.059769529682701425,negligible,1.624267182115818e-48,True
has_quantized,Binary,Chi-square,2.479494592674003e-45,Cramér's V,0.05758119827681058,negligible,3.6602063034711475e-45,True
has_license,Binary,Chi-square,1.8411927058198398e-118,Cramér's V,0.09429673170979672,negligible,3.3574690517891197e-118,True
has_space,Binary,Chi-square,0.8578226313246599,Cramér's V,0.000730037696417502,negligible,0.8578226313246599,False
has_pipeline_name,Binary,Chi-square,6.095935982251736e-249,Cramér's V,0.13732400077236603,small,2.099711282775598e-248,True
has_primary_implementation_library_name,Binary,Chi-square,6.238803453859721e-228,Cramér's V,0.13134919858530547,small,1.7582082460877395e-227,True
if_supported_libraries,Binary,Chi-square,3.6867033647748014e-154,Cramér's V,0.1077844466967294,small,8.163414593429918e-154,True
has_supported_additional_frameworks_Libraries,Binary,Chi-square,0.0,Cramér's V,0.1553785113964938,small,0.0,True
has_widgetData,Binary,Chi-square,6.827487280239759e-149,Cramér's V,0.1059019788311444,small,1.4110140379162169e-148,True
has_config,Binary,Chi-square,2.817274738034705e-134,Cramér's V,0.10049497014584702,small,5.458469804942241e-134,True
has_model_index_result,Binary,Chi-square,7.165746415257602e-15,Cramér's V,0.03171037344194251,negligible,8.54377457203791e-15,True
has_video,Binary,Chi-square,4.888132198719483e-10,Cramér's V,0.02535785536349291,negligible,5.61229993186311e-10,True
has_bibtex,Binary,Chi-square,0.0,Cramér's V,0.1705680616610176,small,0.0,True
