Group,N,AUC_mean,AUC_std
community,5319,0.8408109951014996,0.017043879838650206
company,9822,0.847676504366629,0.012563808670435696
non-profit,2347,0.7945983525209009,0.033188508991780885
organization or individual,40085,0.7941459218800955,0.010915012677391539
university,2421,0.7572167046003172,0.023813515518212196
