Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
others,community,0.7200050274254055,0.007808206532707821,0.7039794555355153,0.7344418464653057,54675,5319
others,company,0.6791361341848231,0.005316549922428692,0.668436804993161,0.6897073215057593,50172,9822
others,non-profit,0.6777885281799118,0.011496997694678471,0.6554707631808435,0.700902759414119,57647,2347
others,organization or individual,0.6862975799975978,0.0036829581195318498,0.6793118821458359,0.6937312431419144,19909,40085
others,university,0.6351639978494122,0.012563944040225953,0.6102779665018954,0.6609609246021954,57573,2421
