Feature,PermImportance_mean,PermImportance_std
word_count_content,0.04558086846017592,0.002291609607681718
has_supported_additional_frameworks_Libraries,0.03750204903035789,0.002222602279202504
word_count_yaml,0.024925330062756466,0.0015496912000461391
num_root_file,0.021604605778792193,0.0017701511631866692
model_size_bytes,0.01999304672650848,0.001113023174472386
num_github_links,0.0185649975565878,0.0010569620033920788
num_code_blk,0.01811026373533794,0.0010495217735826715
has_quantized,0.017350410545371307,0.0011826741929086308
num_model_files,0.016849185275745006,0.0011457264247087928
num_arxiv,0.014874101511490313,0.0008357379442132092
num_table,0.012752826544966256,0.0008378759813217811
num_huggingface_links,0.010334494033904403,0.0006994634403227974
num_lists,0.009934838042300295,0.0009233149256402606
has_config,0.008254022827660846,0.000775452594531605
has_pipeline_name,0.00810038876528224,0.0007494026955855264
num_inline_code,0.008097454170863109,0.000675954197991939
has_safetensors,0.008091505866316732,0.0008821222397449755
has_license,0.007690019576018536,0.0007226813396909524
has_bibtex,0.005826218371268466,0.0006327872246864886
num_dataset,0.005180537791087321,0.0006164549650719976
num_modules,0.004192653185030878,0.0006282825116570038
has_widgetData,0.003701436384907316,0.0005576983993850637
num_static_img,0.0022577156563896583,0.000517635421462353
has_model_index_result,0.0007344776576176455,0.00016369869543856745
has_video,-2.8903162160450376e-05,3.625275941579781e-05
num_animated_img,-8.692821814510291e-05,1.701281133367437e-05
