Feature,MI_Score
model_size_bytes,0.044663452512019086
word_count_content,0.036759108187017775
num_code_blk,0.01856307397879986
num_arxiv,0.017072362001159025
num_github_links,0.013899902208108106
num_inline_code,0.013186146094959383
has_bibtex,0.012575590809282389
has_pipeline_name,0.012077943994231344
num_huggingface_links,0.01074177681586752
has_quantized,0.010103256754835588
has_license,0.010030354449642953
num_lists,0.009473668626830634
num_root_file,0.008459851250482764
word_count_yaml,0.0076412390601077185
has_config,0.007142883959754709
num_table,0.006924128055687984
num_static_img,0.005914144900337259
has_primary_implementation_library_name,0.0057721974730502446
num_modules,0.005619485688300063
has_widgetData,0.004549957710962449
num_animated_img,0.0029328664276571104
has_safetensors,0.0028688896207627046
has_space,0.0021118645102395917
has_video,0.0
num_dataset,0.0
has_model_index_result,0.0
