Group,N,AUC_mean,AUC_std
community,5353,0.8681713395303754,0.020881293083659568
company,9700,0.8808506590243086,0.012750697507597159
non-profit,2374,0.8168133987714624,0.04202665744034903
organization or individual,40168,0.8305995299932638,0.009269388717264503
university,2403,0.8391893364675713,0.029708877040150596
