Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
others,community,0.7163978267400116,0.010778729847420189,0.6944292042653728,0.7381161251771777,54701,5298
others,company,0.7067280776598455,0.006038081959897066,0.6952916317753808,0.718938987678954,50489,9510
others,non-profit,0.7222564971218538,0.01340479502898919,0.6946313955941255,0.748984572373965,57682,2317
others,organization or individual,0.7165170028110299,0.004966255065344243,0.7071815436959328,0.7263678834427605,19527,40472
others,university,0.6448662942755647,0.01651654369248071,0.6130484063630356,0.6774054865812194,57597,2402
