Group,N,AUC_mean,AUC_std
Audio,2187,0.8142640965591786,0.03856527139459822
Computer Vision,7853,0.890983442689017,0.024351251669709608
Multimodal,1913,0.8435748272518897,0.02181706709141866
NLP,27809,0.8611543633034339,0.010227509872542543
Other,20276,0.8109995727267136,0.0161539960797609
