,community,company,non-profit,organization or individual,university
community,,0.6973639819688505,0.71502110526688,0.6911059370998802,0.6346081635149572
company,0.697734409032458,,0.7152781930184703,0.7098284849185063,0.6503815709921171
non-profit,0.6537238416022574,0.701270402834237,,0.6274446660159372,0.6148024801101698
organization or individual,0.7097139949229341,0.6704319291862962,0.7061135787705689,,0.6409699605906621
university,0.646763015108936,0.6481993992010662,0.6505746306468289,0.6322716306829682,
