Group,N,AUC_mean,AUC_std
Audio,2164,0.8241967688266095,0.03271067609823898
Computer Vision,7521,0.851702292817339,0.017417735954948395
Multimodal,1942,0.8324120896501987,0.041262130116685385
NLP,28302,0.8484424108880116,0.017555922876688865
Other,20103,0.8157857068798349,0.022170949224921504
