,community,company,non-profit,organization or individual,university
community,,0.6956421741785828,0.6625666966263623,0.6878949880720994,0.6400989345329207
company,0.677572348611636,,0.689908455391661,0.6554960183396741,0.6598770817437807
non-profit,0.6866427497413079,0.7031167221007217,,0.681284447638016,0.6389264458519645
organization or individual,0.6864831088043868,0.6871889165373879,0.6684812046178603,,0.7161358579231446
university,0.6718226740518151,0.680585368657186,0.6758176402187571,0.6709290566688887,
