Group,N,AUC_mean,AUC_std
community,5298,0.8645840852690995,0.025093918612377617
company,9510,0.8668911856658534,0.013568656130651837
non-profit,2317,0.8389168674788305,0.037431497815472066
organization or individual,40472,0.8251686691235163,0.00984998997712462
university,2402,0.7654675856794623,0.05710368093039102
