Group,N_main,AUC_mean_main,AUC_std_main,N_robust,AUC_mean_robust,AUC_std_robust,delta_AUC,noticeable
community,5298,0.8645840852690995,0.0250939186123776,5276,0.8562189797026258,0.022094587632364,-0.00836510556647363,False
company,9510,0.8668911856658534,0.0135686561306518,9249,0.8570631527692797,0.0127377642982065,-0.009828032896573746,False
non-profit,2317,0.8389168674788305,0.037431497815472,2275,0.8292880593296106,0.0236884874238254,-0.009628808149219958,False
organization or individual,40472,0.8251686691235163,0.0098499899771246,40257,0.8176138454670061,0.0130897659609902,-0.007554823656510168,False
university,2402,0.7654675856794623,0.057103680930391,2342,0.7525272622114728,0.0291934743098103,-0.012940323467989456,False
