Group,N_main,AUC_mean_main,AUC_std_main,N_robust,AUC_mean_robust,AUC_std_robust,delta_AUC,noticeable
Audio,2187,0.8142640965591786,0.0385652713945982,2106,0.7914091096716834,0.0321079590776024,-0.02285498688749521,False
Computer Vision,7853,0.890983442689017,0.0243512516697096,7787,0.8778801807970922,0.0205251456411127,-0.013103261891924789,False
Multimodal,1913,0.8435748272518897,0.0218170670914186,1868,0.8462752655018843,0.0326100291689594,0.0027004382499945523,False
NLP,27809,0.8611543633034339,0.0102275098725425,27523,0.8397439235442976,0.009881459117752,-0.021410439759136257,False
Other,20276,0.8109995727267136,0.0161539960797609,20161,0.8020062431215343,0.0123535529686039,-0.00899332960517929,False
