Train_main,Test,AUC_mean_main,AUC_std_main,CI_lo_main,CI_hi_main,N_train_main,N_test_main,Train_robust,AUC_mean_robust,AUC_std_robust,CI_lo_robust,CI_hi_robust,N_train_robust,N_test_robust,delta_AUC,main_in_robust_CI,noticeable
others,Audio,0.7814769743482293,0.0129092828080189,0.7562588751378204,0.8067069429924242,57868,2164,others,0.7712960878385438,0.0137095344801806,0.7452659770144167,0.7990575357045138,57347,2089,-0.010180886509685516,True,False
others,Computer Vision,0.7558726384073752,0.0074604233630619,0.7407027987615695,0.7701935038221761,52511,7521,others,0.7442874031443276,0.0074872574059848,0.7289069786361779,0.7581532834491786,51990,7446,-0.011585235263047555,True,False
others,Multimodal,0.768719470708118,0.0114762214708334,0.7465953250909015,0.7914662190535622,58090,1942,others,0.7614741407031353,0.0120185859340102,0.7380246586972964,0.7851351908195789,57524,1912,-0.00724533000498262,True,False
others,NLP,0.7539202861008266,0.0044260038629997,0.7452787587502578,0.7629231217127541,31730,28302,others,0.7479683870800052,0.0047162196832682,0.7386828179382474,0.7571904744501639,31481,27955,-0.005951899020821383,True,False
others,Other,0.7477514202867263,0.0064705245978881,0.7353151518382105,0.7607079108666254,39929,20103,others,0.7423081346593035,0.0067609563044285,0.7293693939780704,0.7550706290213409,39402,20034,-0.0054432856274228,True,False
