Group,N_main,AUC_mean_main,AUC_std_main,N_robust,AUC_mean_robust,AUC_std_robust,delta_AUC,noticeable
Audio,2164,0.8241967688266095,0.0327106760982389,2089,0.8274489601038069,0.0234909185797345,0.003252191277197336,False
Computer Vision,7521,0.851702292817339,0.0174177359549483,7446,0.8468011142164966,0.0218223734613014,-0.004901178600842382,False
Multimodal,1942,0.8324120896501987,0.0412621301166853,1912,0.8195664286735715,0.0360452046612564,-0.012845660976627205,False
NLP,28302,0.8484424108880116,0.0175559228766888,27955,0.836624590104441,0.010380668515125,-0.011817820783570632,False
Other,20103,0.8157857068798349,0.0221709492249215,20034,0.8170141705946177,0.0212365187377505,0.0012284637147828015,False
