Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
others,community,0.6957169917749026,0.009442796063263257,0.676690215462761,0.7147433656535173,54617,5382
others,company,0.6834714848851475,0.005439301194293654,0.6727840180946468,0.6939006713448465,50089,9910
others,non-profit,0.6739125999401423,0.012529018204961842,0.6483189035901612,0.698465285415777,57598,2401
others,organization or individual,0.6825824378757823,0.003618710565755423,0.6755714253525158,0.6896033826011821,20130,39869
others,university,0.6626560648986938,0.011482821350515052,0.6409206253061256,0.684998656069547,57562,2437
