Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
others,Audio,0.7445509788842439,0.012585381560887005,0.7204439126266948,0.7689557621233405,57881,2155
others,Computer Vision,0.7364848509279159,0.007074332901535505,0.7227356594322394,0.7502148682823089,52475,7561
others,Multimodal,0.7549499141587718,0.010816152482353892,0.7348276943242267,0.7766058871810994,58078,1958
others,NLP,0.7275571974278009,0.0038459464204914687,0.7202120598400832,0.7346988644287424,31695,28341
others,Other,0.7444496986644996,0.005510093224862323,0.7330776284375997,0.7550478857481037,40015,20021
