Group,N,AUC_mean,AUC_std
Audio,2155,0.8066207633829585,0.03014116356833304
Computer Vision,7561,0.8330691861378913,0.010963355054613632
Multimodal,1958,0.833612493090105,0.03956412385338398
NLP,28341,0.8285882182967624,0.009209124043348754
Other,20021,0.8088821988442513,0.017744466202227287
