Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
community,company,0.6798935990362523,0.00574614641516441,0.668552356766308,0.6913518572412156,5300,9686
community,non-profit,0.7170122977223131,0.01215272589001777,0.6914797664069561,0.7396290025185608,5300,2319
community,organization or individual,0.6881826377024614,0.004184578191497964,0.6802394320934052,0.6964304662094121,5300,40305
community,university,0.6398645655370395,0.013898586637779124,0.6134249070695268,0.6657830858529509,5300,2381
company,community,0.6773802339969641,0.009674888572347188,0.6583069931759877,0.6963184666826733,9686,5300
company,non-profit,0.6939637941157425,0.011878275739538764,0.6701815519867005,0.7174339030717833,9686,2319
company,organization or individual,0.6618745530795997,0.0042767354769003415,0.6536743606768198,0.6701177448374348,9686,40305
company,university,0.6517918684335147,0.014074950141598989,0.6229739162425562,0.6782844808998122,9686,2381
non-profit,community,0.6479914259701091,0.009530147326212254,0.6292500289289725,0.6666414108825498,2319,5300
non-profit,company,0.6897205852095983,0.005575067646413135,0.679073750285793,0.7011094162732241,2319,9686
non-profit,organization or individual,0.6044459302822622,0.004279392868977898,0.596170538058897,0.6128981327807111,2319,40305
non-profit,university,0.6385539714002902,0.013714565328646624,0.6117895319423502,0.6653434433335585,2319,2381
organization or individual,community,0.6946748401005575,0.008704224323293035,0.6767897134765191,0.7106941726963364,40305,5300
organization or individual,company,0.6624377513277362,0.005512649554137655,0.6522845939213083,0.6745542670145253,40305,9686
organization or individual,non-profit,0.6895918329355313,0.012203395108188825,0.6657620665518456,0.7136406938664427,40305,2319
organization or individual,university,0.6421811822440107,0.01405240502067914,0.6144296688209435,0.6693990972371546,40305,2381
university,community,0.6463185417091538,0.009727612426701737,0.6270889018449189,0.6648213349138938,2381,5300
university,company,0.6427908569208007,0.0056269183331296765,0.6318290555052944,0.6534420125558308,2381,9686
university,non-profit,0.6639194442760629,0.012028895913593149,0.6412441822610471,0.6878054202066102,2381,2319
university,organization or individual,0.6304298499437138,0.004514351846833769,0.6215060655437764,0.6388466251264407,2381,40305
