Feature,PermImportance_mean,PermImportance_std
word_count_content,0.046939842761155856,0.002455094833429904
has_supported_additional_frameworks_Libraries,0.038051253213136266,0.002383612315214114
word_count_yaml,0.025354586137916447,0.0016996811759235524
num_github_links,0.02337767880499679,0.001543212844850999
num_arxiv,0.020527314175881693,0.001358862812188755
num_code_blk,0.01960677646833931,0.0011666509322710175
num_root_file,0.017949247971841473,0.0019324074483673798
has_quantized,0.015014327407128724,0.00097814652737434
num_model_files,0.014992198687146156,0.0012046728860168263
num_lists,0.013414454708907338,0.0010788526510506873
num_huggingface_links,0.012412529875964437,0.0009264486955869665
num_table,0.010878884483498033,0.0007158555497771841
has_pipeline_name,0.010621444716995169,0.0011344655247021531
has_config,0.009141482940623388,0.0013004784816537706
has_safetensors,0.008177066726554653,0.0010591308312611909
has_license,0.0073499179096137976,0.0010150871741184979
num_inline_code,0.006856174257886523,0.0009767631296851388
has_bibtex,0.0067697071077835146,0.0006616750823028736
has_widgetData,0.005767586189196579,0.0007155284864138052
num_modules,0.0056263565382738655,0.0007382655398704634
num_dataset,0.004957618446029677,0.0007025306973367391
num_static_img,0.0036560582016609425,0.0008888787658131041
has_space,1.7531049417078098e-05,5.871706314748917e-06
num_animated_img,-0.00015098015436231608,2.820688123767818e-05
