Group,N,AUC_mean,AUC_std
community,5382,0.855266955162816,0.029943498493006458
company,9910,0.8712022490476002,0.010251735861045096
non-profit,2401,0.8399123292196146,0.02339322281663245
organization or individual,39869,0.8173591326839421,0.006199845662059453
university,2437,0.8302823960821228,0.0348891578835584
