Feature,Test_Type,Test_Applied,p_value,Effect_Size_Measure,Effect_Size_Value,Effect_Size_Interpretation,p_value_fdr_corrected,significant_after_fdr
num_arxiv,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.2157462182414878,small,0.0,True
num_dataset,Continuous,Mann-Whitney U,0.051056136410321515,Cliff's Delta,0.009085080962927468,negligible,0.05652643673999882,False
num_model_files,Continuous,Mann-Whitney U,1.7784929159597372e-26,Cliff's Delta,0.06659976497823729,negligible,2.756664019737593e-26,True
model_size_bytes,Continuous,Mann-Whitney U,4.711034349859505e-48,Cliff's Delta,0.09195029891910862,negligible,9.12762905285279e-48,True
num_root_file,Continuous,Mann-Whitney U,1.1197957927236893e-29,Cliff's Delta,0.07133316910582586,negligible,1.9285371985796868e-29,True
num_modules,Continuous,Mann-Whitney U,4.965657779375845e-79,Cliff's Delta,0.08723785079544416,negligible,1.28279492633876e-78,True
num_lists,Continuous,Mann-Whitney U,7.645118607470347e-228,Cliff's Delta,0.18962051667204394,small,3.949977947193013e-227,True
num_static_img,Continuous,Mann-Whitney U,1.3853582672818417e-15,Cliff's Delta,0.037760324439764646,negligible,1.867222012423352e-15,True
num_animated_img,Continuous,Mann-Whitney U,3.2103522135810974e-18,Cliff's Delta,0.006656311083455346,negligible,4.523678119137001e-18,True
num_github_links,Continuous,Mann-Whitney U,1.3705840472404505e-305,Cliff's Delta,0.20981602256745194,small,8.497621092890794e-305,True
num_huggingface_links,Continuous,Mann-Whitney U,1.1272256501926163e-19,Cliff's Delta,0.0549669470167252,negligible,1.6639997693319574e-19,True
num_code_blk,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.23636950340934368,small,0.0,True
num_inline_code,Continuous,Mann-Whitney U,4.936217696273553e-220,Cliff's Delta,0.16550643858824982,small,2.1860392654925735e-219,True
num_table,Continuous,Mann-Whitney U,3.2317876690476415e-90,Cliff's Delta,0.10750193131199326,negligible,9.107765249134263e-90,True
word_count_yaml,Continuous,Mann-Whitney U,7.900918168353862e-14,Cliff's Delta,0.047093732262154436,negligible,1.0205352634123739e-13,True
word_count_content,Continuous,Mann-Whitney U,0.0,Cliff's Delta,0.27536350585423464,small,0.0,True
has_dataset,Binary,Chi-square,0.45949109902816143,Cramér's V,0.003014280744266116,negligible,0.45949109902816143,False
match_huggingface_dataset,Binary,Chi-square,0.42135996568212186,Cramér's V,0.0032766307285329727,negligible,0.43540529787152593,False
has_safetensors,Binary,Chi-square,4.520060501163238e-63,Cramér's V,0.06831231276879411,negligible,9.341458369070692e-63,True
has_quantized,Binary,Chi-square,1.5619121827690615e-201,Cramér's V,0.12343355791240344,small,6.0524097082301135e-201,True
has_license,Binary,Chi-square,2.226100526008114e-139,Cramér's V,0.10241488950481337,small,6.900911630625154e-139,True
has_space,Binary,Chi-square,0.004563147852276967,Cramér's V,0.01155839822395559,negligible,0.005239169756317999,True
has_pipeline_name,Binary,Chi-square,3.022233443158315e-157,Cramér's V,0.10887230986547607,small,1.0409915193100862e-156,True
has_primary_implementation_library_name,Binary,Chi-square,3.7768695802580594e-27,Cramér's V,0.04397618626599319,negligible,6.162260894105255e-27,True
if_supported_libraries,Binary,Chi-square,1.7801345248235998e-06,Cramér's V,0.01946630297770614,negligible,2.1224680872896768e-06,True
has_supported_additional_frameworks_Libraries,Binary,Chi-square,5.355767079369542e-09,Cramér's V,0.023781078041131987,negligible,6.641151178418232e-09,True
has_widgetData,Binary,Chi-square,2.9800877956376524e-42,Cramér's V,0.05550915750832995,negligible,5.434277744986308e-42,True
has_config,Binary,Chi-square,3.737304312019689e-70,Cramér's V,0.07215543570084934,negligible,8.275459548043597e-70,True
has_model_index_result,Binary,Chi-square,0.05611603770671758,Cramér's V,0.007783958971968837,negligible,0.05998610927269811,False
has_video,Binary,Chi-square,2.9127149532402615e-70,Cramér's V,0.07221260264373364,negligible,6.945704888496008e-70,True
has_bibtex,Binary,Chi-square,0.0,Cramér's V,0.15791417413078912,small,0.0,True
