feature,MI_Score
word_count_content,0.03140038518349564
num_code_blk,0.01934716073052334
num_github_links,0.017871258831024806
num_arxiv,0.017747965350707107
has_pipeline_name,0.017730235654172644
num_root_file,0.015983199426362837
has_supported_additional_frameworks_Libraries,0.015641497968594154
has_config,0.014466807208008747
has_bibtex,0.013470590726996079
word_count_yaml,0.013339113495835386
num_inline_code,0.011693481434594366
num_table,0.011215961386092488
has_widgetData,0.007649037641486833
has_license,0.0073767061926313104
has_safetensors,0.00720991329601417
num_huggingface_links,0.006777760687297629
num_model_files,0.006672632592863437
num_lists,0.0038744922454443387
num_modules,0.00216964822326271
has_quantized,0.0019612101038331
num_animated_img,0.001091488421055331
num_dataset,0.0007277358125852285
has_space,0.0006214157075459248
num_static_img,0.0
