,community,company,non-profit,organization or individual,university
community,,0.6970951510527648,0.6363257360722412,0.6725677177843906,0.6506297169823363
company,0.6645533417849928,,0.686523763116869,0.6560176637834988,0.6327753467970927
non-profit,0.6704333130900585,0.6917092006060298,,0.6647478050782816,0.6198403515470357
organization or individual,0.6709375103717241,0.6557160760413709,0.6391559546681547,,0.6507834556146762
university,0.6597753216660182,0.6764927275667055,0.6610269545547682,0.6547366325539389,
