Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
others,community,0.7101086108470986,0.009182827146695277,0.6922405998631903,0.7276688229340614,54691,5300
others,company,0.6914465513058112,0.005481690751870986,0.6816126724348638,0.7024033101466894,50305,9686
others,non-profit,0.7015456380196184,0.011973639512810651,0.6771518988338742,0.7238803036252727,57672,2319
others,organization or individual,0.6926925472578875,0.004089661909399654,0.6851344542271973,0.7010006684248414,19686,40305
others,university,0.6462083169083987,0.013522324785675607,0.6188292381661632,0.6728221579477399,57610,2381
