,community,company,non-profit,organization or individual,university
community,,0.6798935990362523,0.7170122977223131,0.6881826377024614,0.6398645655370395
company,0.6773802339969641,,0.6939637941157425,0.6618745530795997,0.6517918684335147
non-profit,0.6479914259701091,0.6897205852095983,,0.6044459302822622,0.6385539714002902
organization or individual,0.6946748401005575,0.6624377513277362,0.6895918329355313,,0.6421811822440107
university,0.6463185417091538,0.6427908569208007,0.6639194442760629,0.6304298499437138,
