Train,Test,AUC_mean,AUC_std,CI_lo,CI_hi,N_train,N_test
community,company,0.6970951510527648,0.005509692291765956,0.685663492352678,0.7075529322165227,5382,9910
community,non-profit,0.6363257360722412,0.013150229776129216,0.6108806237026695,0.6622906368424344,5382,2401
community,organization or individual,0.6725677177843906,0.003887292150908523,0.6651774649260813,0.6803681009908391,5382,39869
community,university,0.6506297169823363,0.011805136762900638,0.6283749542268555,0.6742138762415054,5382,2437
company,community,0.6645533417849928,0.009382233005341134,0.6460588991091962,0.6828982451462967,9910,5382
company,non-profit,0.686523763116869,0.012503927644165073,0.6617325209613474,0.7109304909260905,9910,2401
company,organization or individual,0.6560176637834988,0.003806696522428628,0.6486828835390099,0.663581069833685,9910,39869
company,university,0.6327753467970927,0.012264233366465748,0.6094390946007334,0.6570005096662374,9910,2437
non-profit,community,0.6704333130900585,0.0096628431984859,0.6515190439926274,0.6906349627373743,2401,5382
non-profit,company,0.6917092006060298,0.0054213948259516104,0.6807979458098598,0.7017974326361838,2401,9910
non-profit,organization or individual,0.6647478050782816,0.003913664412865801,0.6571688153187866,0.6726528157325576,2401,39869
non-profit,university,0.6198403515470357,0.012418679334481982,0.5965581532773766,0.6446986382175858,2401,2437
organization or individual,community,0.6709375103717241,0.009549445769475473,0.6516102759127027,0.6896891331270395,39869,5382
organization or individual,company,0.6557160760413709,0.005604719854021092,0.6446807859806101,0.6666338577917811,39869,9910
organization or individual,non-profit,0.6391559546681547,0.012685288752768637,0.6125840273165905,0.6635745860838246,39869,2401
organization or individual,university,0.6507834556146762,0.011685160812980596,0.6282419000635053,0.6740111554553186,39869,2437
university,community,0.6597753216660182,0.010307552264468571,0.6404300158799641,0.6809060070651506,2437,5382
university,company,0.6764927275667055,0.005770572912672562,0.6649768727306286,0.6877713219891437,2437,9910
university,non-profit,0.6610269545547682,0.012945854326926437,0.6357885805152418,0.6838814407534645,2437,2401
university,organization or individual,0.6547366325539389,0.0038532830668634183,0.6473304895741976,0.66202545086316,2437,39869
