feature,MI_Score
model_size_bytes,0.03735605477625259
word_count_content,0.03052131446366735
num_arxiv,0.01587965410021841
num_code_blk,0.015639390927537633
num_github_links,0.012859633371515411
num_inline_code,0.012629709305953751
has_bibtex,0.012277650239777449
has_pipeline_name,0.011850525381349453
has_license,0.009800520671669366
num_huggingface_links,0.00936077964464821
has_quantized,0.00833471350696846
num_lists,0.008332264566838221
has_config,0.008324650830071834
num_root_file,0.00782677282974742
num_table,0.0070892667993915914
word_count_yaml,0.007065155943610568
num_modules,0.005482341600867802
has_primary_implementation_library_name,0.00510682213176894
num_static_img,0.0046432246683780765
has_safetensors,0.00454072717280396
has_widgetData,0.0034902813279464873
num_animated_img,0.0018948485157270767
has_video,0.001622529361369418
has_space,0.000752075598905666
num_dataset,0.0
has_model_index_result,0.0
