Group,N,AUC_mean,AUC_std
community,5300,0.8544037045804238,0.022014559780826257
company,9686,0.8546403217480363,0.010747368044148803
non-profit,2319,0.8187264941982383,0.032281552938970004
organization or individual,40305,0.8060165104038027,0.009032849721355412
university,2381,0.744142019572372,0.04907515765583297
