Group,N_main,AUC_mean_main,AUC_std_main,N_robust,AUC_mean_robust,AUC_std_robust,delta_AUC,noticeable
community,5298,0.8645840852690995,0.0250939186123776,5300,0.8544037045804238,0.0220145597808262,-0.010180380688675661,False
company,9510,0.8668911856658534,0.0135686561306518,9686,0.8546403217480363,0.0107473680441488,-0.012250863917817156,False
non-profit,2317,0.8389168674788305,0.037431497815472,2319,0.8187264941982383,0.03228155293897,-0.020190373280592255,False
organization or individual,40472,0.8251686691235163,0.0098499899771246,40305,0.8060165104038027,0.0090328497213554,-0.01915215871971354,False
university,2402,0.7654675856794623,0.057103680930391,2381,0.744142019572372,0.0490751576558329,-0.021325566107090244,False
