Feature,PermImportance_mean_main,rank_main,PermImportance_mean_current,rank_current,rank_delta,importance_delta
word_count_content,0.0346287433549176,1,0.0469398427611558,1,0,0.012311099406238202
num_github_links,0.0243559297549181,3,0.0233776788049967,4,1,-0.0009782509499213984
has_supported_additional_frameworks_Libraries,0.0236710603118861,4,0.0380512532131362,2,-2,0.014380192901250102
word_count_yaml,0.021697954971908,5,0.0253545861379164,3,-2,0.0036566311660083985
num_arxiv,0.0186301626820605,6,0.0205273141758816,5,-1,0.0018971514938210983
num_code_blk,0.0132670833290284,7,0.0196067764683393,6,-1,0.0063396931393109
num_root_file,0.0128777201055413,8,0.0179492479718414,7,-1,0.0050715278663001
has_quantized,0.011179570131478,9,0.0150143274071287,8,-1,0.0038347572756506996
has_config,0.0111384963481541,10,0.0091414829406233,14,4,-0.0019970134075307996
num_huggingface_links,0.010804548176283,11,0.0124125298759644,11,0,0.001607981699681401
has_safetensors,0.0104957443455658,12,0.0081770667265546,15,3,-0.0023186776190112
num_lists,0.0092566347970781,13,0.0134144547089073,10,-3,0.004157819911829201
has_pipeline_name,0.0081516706751477,14,0.0106214447169951,13,-1,0.0024697740418473998
num_inline_code,0.0071602103733514,15,0.0068561742578865,17,2,-0.0003040361154649004
has_license,0.005566106149493,17,0.0073499179096137,16,-1,0.0017838117601207005
num_modules,0.0051552996699111,18,0.0056263565382738,20,2,0.0004710568683627004
has_bibtex,0.0048719019672506,19,0.0067697071077835,18,-1,0.0018978051405329002
has_widgetData,0.0046898379024805,20,0.0057675861891965,19,-1,0.0010777482867160007
num_table,0.0046766868919737,21,0.010878884483498,12,-9,0.0062021975915243005
num_static_img,0.0019042891259259,22,0.0036560582016609,22,0,0.0017517690757350001
has_space,5.176399694314012e-06,24,1.7531049417078098e-05,23,-1,1.2354649722764086e-05
num_animated_img,-5.171745704875737e-06,25,-0.0001509801543623,24,-1,-0.00014580840865742426
