Group,N_main,AUC_mean_main,AUC_std_main,N_robust,AUC_mean_robust,AUC_std_robust,delta_AUC,noticeable
Audio,2164,0.8241967688266095,0.0327106760982389,2155,0.8066207633829585,0.030141163568333,-0.01757600544365101,False
Computer Vision,7521,0.851702292817339,0.0174177359549483,7561,0.8330691861378913,0.0109633550546136,-0.01863310667944773,False
Multimodal,1942,0.8324120896501987,0.0412621301166853,1958,0.833612493090105,0.0395641238533839,0.001200403439906239,False
NLP,28302,0.8484424108880116,0.0175559228766888,28341,0.8285882182967624,0.0092091240433487,-0.01985419259124921,False
Other,20103,0.8157857068798349,0.0221709492249215,20021,0.8088821988442513,0.0177444662022272,-0.006903508035583594,False
