sort_by,Model,AUC_main,AUC_robust,delta_AUC,best_params_main,best_params_robust,params_changed,noticeable_drop
downloads,RandomForest,0.8609902509438716,0.8457162958466392,-0.015273955097232395,"{'clf__max_depth': 20, 'clf__n_estimators': 200}","{'clf__max_depth': 20, 'clf__n_estimators': 200}",False,False
downloads,KNN,0.8067603551557576,0.7999267625117215,-0.006833592644036157,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}","{'clf__n_neighbors': 11, 'clf__weights': 'distance'}",False,False
downloads,DecisionTree,0.7797951049800238,0.7686608579180106,-0.011134247062013158,"{'clf__max_depth': 10, 'clf__min_samples_split': 10}","{'clf__max_depth': 10, 'clf__min_samples_split': 10}",False,False
downloads,SVM,0.7220793871017311,0.7075697085977989,-0.014509678503932255,{'clf__C': 10},{'clf__C': 10},False,False
downloads,NaiveBayes,0.6838911717807714,0.6795145067117251,-0.004376665069046326,{'clf__var_smoothing': 1e-07},{'clf__var_smoothing': 1e-07},False,False
likes,RandomForest,0.847747999398609,0.8314251421395447,-0.01632285725906435,"{'clf__max_depth': None, 'clf__n_estimators': 200}","{'clf__max_depth': None, 'clf__n_estimators': 200}",False,False
likes,KNN,0.7823343240705762,0.7781013159750012,-0.0042330080955750304,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}","{'clf__n_neighbors': 11, 'clf__weights': 'distance'}",False,False
likes,DecisionTree,0.757775997471096,0.7508904058624409,-0.006885591608655095,"{'clf__max_depth': 10, 'clf__min_samples_split': 10}","{'clf__max_depth': 10, 'clf__min_samples_split': 10}",False,False
likes,SVM,0.7242643586160376,0.7039111307723493,-0.020353227843688204,{'clf__C': 10},{'clf__C': 10},False,True
likes,NaiveBayes,0.6841891484756235,0.6677855989332009,-0.016403549542422624,{'clf__var_smoothing': 1e-07},{'clf__var_smoothing': 1e-07},False,False
