Train_main,Test,AUC_mean_main,AUC_std_main,CI_lo_main,CI_hi_main,N_train_main,N_test_main,Train_robust,AUC_mean_robust,AUC_std_robust,CI_lo_robust,CI_hi_robust,N_train_robust,N_test_robust,delta_AUC,main_in_robust_CI,noticeable
others,community,0.7277095059953763,0.0105514101352108,0.7047407338295912,0.7482887875518727,54645,5353,others,0.6957169917749026,0.0094427960632632,0.676690215462761,0.7147433656535173,54617,5382,-0.03199251422047367,False,True
others,company,0.707911079834365,0.0057769778115353,0.6972758040557672,0.7194171862415141,50298,9700,others,0.6834714848851475,0.0054393011942936,0.6727840180946468,0.6939006713448465,50089,9910,-0.024439594949217436,False,False
others,non-profit,0.7084413826853189,0.0134178819938504,0.681686979096134,0.7343411641685779,57624,2374,others,0.6739125999401423,0.0125290182049618,0.6483189035901612,0.698465285415777,57598,2401,-0.03452878274517657,False,True
others,organization or individual,0.7051823537814929,0.0046841090933893,0.6957162125617902,0.7140439569278197,19830,40168,others,0.6825824378757823,0.0036187105657554,0.6755714253525158,0.6896033826011821,20130,39869,-0.022599915905710533,False,False
others,university,0.7007694614587278,0.0122472231302759,0.6754979360013056,0.7237324933529505,57595,2403,others,0.6626560648986938,0.011482821350515,0.6409206253061256,0.684998656069547,57562,2437,-0.038113396560033985,False,True
