Feature,PermImportance_mean_main,rank_main,PermImportance_mean_current,rank_current,rank_delta,importance_delta
word_count_content,0.0672042501441106,1,0.0759857709335448,1,0,0.0087815207894342
has_quantized,0.0579536608792445,2,0.0550196220504644,2,0,-0.0029340388287801
model_size_bytes,0.0313290357929944,3,0.030264297634378,3,0,-0.001064738158616397
num_arxiv,0.0254021826372499,4,0.0221840004142122,5,1,-0.0032181822230376994
word_count_yaml,0.0198198142853458,5,0.0233065013709364,4,-1,0.0034866870855905993
num_huggingface_links,0.0191145021939369,6,0.0198136120734613,7,1,0.0006991098795244011
num_code_blk,0.0164453997223055,7,0.0204429832837236,6,-1,0.003997583561418102
num_github_links,0.0162929582999756,8,0.0183404702716209,8,0,0.002047511971645301
has_license,0.0149168876613524,9,0.0088561088298159,14,5,-0.0060607788315365
num_root_file,0.0120592858211278,10,0.010505258595017,11,1,-0.0015540272261108014
num_lists,0.0109457699937011,11,0.0138943093745302,9,-2,0.002948539380829101
num_modules,0.0095286569861824,12,0.0107262529074246,10,-2,0.0011975959212421998
num_static_img,0.0085197488781789,13,0.0101621873176537,12,-1,0.0016424384394747998
num_inline_code,0.0078006121112997,14,0.0091764027325766,13,-1,0.0013757906212769006
num_table,0.0067456423068483,15,0.0083543074646395,15,0,0.0016086651577912007
has_config,0.0062941657775218,16,0.0079675231538672,16,0,0.0016733573763453987
has_pipeline_name,0.0062121415415928,17,0.0066281233443897,19,2,0.00041598180279689943
has_bibtex,0.0053964670728852,18,0.0067216454408507,17,-1,0.0013251783679654999
has_safetensors,0.0052414775913667,19,0.0066927505250999,18,-1,0.0014512729337332001
has_primary_implementation_library_name,0.0048358265685268,21,0.0036305943709983,21,0,-0.0012052321975285002
has_widgetData,0.0024999520639091,22,0.0028557168570955,22,0,0.0003557647931864
has_model_index_result,0.001018126497479,23,0.0011528222507464,23,0,0.00013469575326740006
has_video,0.0008023140286782,24,0.0001823968804213,24,0,-0.0006199171482569
num_animated_img,3.714348928743893e-05,25,6.910984745904422e-05,25,0,3.196635817160529e-05
has_space,4.635373428019119e-06,26,2.6897655223604804e-06,26,0,-1.9456079056586382e-06
