Feature,Importance
model_size_bytes,0.1544428956215138
word_count_content,0.1489521007402781
word_count_yaml,0.09581761484865105
num_root_file,0.08664576651635698
num_huggingface_links,0.054212032499461084
num_code_blk,0.05086318661614955
num_lists,0.0457498135632236
num_github_links,0.04503510208518042
num_arxiv,0.04219693943410692
num_inline_code,0.03726518406776369
num_modules,0.030495874844005767
has_quantized,0.030177102870227714
num_static_img,0.027085782515903108
num_table,0.023664754540619715
has_license,0.01894252703913631
has_safetensors,0.016567828094176774
has_bibtex,0.015898699178024195
has_pipeline_name,0.014202886912674306
has_widgetData,0.013534114899886344
match_huggingface_dataset,0.013513263636809186
has_primary_implementation_library_name,0.013301192214595125
has_config,0.012381643038499578
has_model_index_result,0.004677091209746627
has_video,0.0030644271790020708
num_animated_img,0.0012854027056491682
has_space,2.6773128358956333e-05
