Feature,PermImportance_mean,PermImportance_std
word_count_content,0.0672042501441106,0.0029151410222519702
has_quantized,0.057953660879244556,0.00317612608199442
model_size_bytes,0.03132903579299446,0.0027337066723032923
num_arxiv,0.025402182637249936,0.002489116359668621
word_count_yaml,0.0198198142853458,0.0018427820106064186
num_huggingface_links,0.019114502193936966,0.0016458590138404027
num_code_blk,0.01644539972230559,0.0018715369904747704
num_github_links,0.016292958299975697,0.002328147903459318
has_license,0.01491688766135247,0.0014234473826947168
num_root_file,0.01205928582112783,0.0019573196193127165
num_lists,0.010945769993701131,0.001448545039196221
num_modules,0.009528656986182408,0.0014997395062768383
num_static_img,0.008519748878178983,0.001067417491923079
num_inline_code,0.007800612111299791,0.0013671257250787918
num_table,0.006745642306848339,0.0010846075455805259
has_config,0.006294165777521828,0.0010707588198246324
has_pipeline_name,0.0062121415415928825,0.0013528820467713185
has_bibtex,0.005396467072885284,0.0008305785291767396
has_safetensors,0.005241477591366705,0.0011185453016445063
match_huggingface_dataset,0.004979419593537126,0.0009904698003251036
has_primary_implementation_library_name,0.004835826568526876,0.0010711329637552159
has_widgetData,0.0024999520639091425,0.0008633681513230281
has_model_index_result,0.0010181264974790881,0.0004075943710516439
has_video,0.0008023140286782896,0.00022515238172075375
num_animated_img,3.7143489287438934e-05,8.343231385844924e-05
has_space,4.635373428019119e-06,5.259265410559735e-07
