Feature,Importance
model_size_bytes,0.1391135767628528
word_count_content,0.12298810753093356
word_count_yaml,0.09488872283177
num_root_file,0.0861367214805055
num_github_links,0.05994413634011855
num_code_blk,0.05484017675091269
num_huggingface_links,0.04965167648534452
num_arxiv,0.04964195998855762
num_lists,0.04417085098767146
num_inline_code,0.038229857988601054
has_supported_additional_frameworks_Libraries,0.027673001788275937
num_table,0.02721564116329064
num_modules,0.026743789617427852
has_bibtex,0.026076999159920546
has_pipeline_name,0.022375624990572583
has_safetensors,0.01932596941169371
num_static_img,0.01929580624356084
has_config,0.0179626655480417
has_quantized,0.017540001534715712
match_huggingface_dataset,0.016671627219252968
has_license,0.016633618738900104
has_widgetData,0.014530683964722547
has_model_index_result,0.005211752609662446
has_video,0.0021696924867863725
num_animated_img,0.0009043712609336407
has_space,6.296711497463312e-05
