Feature,PermImportance_mean,PermImportance_std
word_count_content,0.034628743354917634,0.002713606852905956
model_size_bytes,0.02715659817948969,0.002332478897727347
num_github_links,0.024355929754918165,0.00269862009042282
has_supported_additional_frameworks_Libraries,0.02367106031188619,0.0019240630046677054
word_count_yaml,0.021697954971908042,0.0016825559351281258
num_arxiv,0.018630162682060587,0.001483773233457273
num_code_blk,0.013267083329028413,0.0018553082037857623
num_root_file,0.012877720105541342,0.002154679360480465
has_quantized,0.011179570131478016,0.0010803247522609277
has_config,0.01113849634815417,0.0010449433905786434
num_huggingface_links,0.010804548176283065,0.0009510610685335653
has_safetensors,0.010495744345565805,0.0016680877552352979
num_lists,0.009256634797078164,0.0009635082943391358
has_pipeline_name,0.008151670675147738,0.0015317793589291408
num_inline_code,0.0071602103733514385,0.0009632289658025944
match_huggingface_dataset,0.006665578563948297,0.0011553745903497806
has_license,0.005566106149493036,0.0009405214351296501
num_modules,0.005155299669911158,0.0009009303269117722
has_bibtex,0.004871901967250647,0.0009243207816356452
has_widgetData,0.0046898379024805275,0.0007308429469208191
num_table,0.0046766868919737616,0.0006909376961087891
num_static_img,0.00190428912592591,0.0007800458291547395
has_model_index_result,0.00011676161270413414,0.00028777402614324433
has_space,5.176399694314012e-06,3.104107346369038e-06
num_animated_img,-5.171745704875737e-06,3.8353333264143736e-05
has_video,-7.176218933339085e-05,0.00010363072567947842
