Model,AUC_mean,AUC_std,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,Acceptable_AUC>0.7,Best_Params
RandomForest,0.847747999398609,0.0064493443094304475,0.9022568047701526,0.002391870393554028,0.6757786686847856,0.032902892694722886,0.23162929745889385,0.015743990942486536,0.34473974185890816,0.019717669955756432,True,"{'clf__max_depth': None, 'clf__n_estimators': 200}"
KNN,0.7823343240705762,0.008021284478192139,0.8976352739396392,0.0025081627451938775,0.5899700650991878,0.026186309720225304,0.25831091180866966,0.015897611164037838,0.3591002812910851,0.01858206933725898,True,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}"
DecisionTree,0.757775997471096,0.009115593924888232,0.7117523137081766,0.011450357649239577,0.23387333925769313,0.006719999924490278,0.699506726457399,0.0233886632136035,0.35040932436896033,0.007892543410435283,True,"{'clf__max_depth': 10, 'clf__min_samples_split': 10}"
SVM,0.7242643586160376,0.008889201854862458,0.6396259488336818,0.008547800821734274,0.18962677152877297,0.005180437224331706,0.6851121076233183,0.01804182255227484,0.29701151192055514,0.0075340920098512665,True,{'clf__C': 10}
NaiveBayes,0.6841891484756235,0.009939337048351172,0.39520871900192567,0.0561053027427494,0.1406066891289823,0.006979617481500426,0.8638714499252615,0.03920356123169054,0.24160881382155633,0.009123872211936614,False,{'clf__var_smoothing': 1e-07}
