Model,AUC_mean,AUC_std,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,Acceptable_AUC>0.7,Best_Params
RandomForest,0.8609902509438716,0.007212371277513222,0.90614270649428,0.002601014365951595,0.6080477405811007,0.016811641385697868,0.4373094170403587,0.020589119075618133,0.5084726231466113,0.01678459159852847,True,"{'clf__max_depth': 20, 'clf__n_estimators': 200}"
KNN,0.8067603551557576,0.00961628791708733,0.9051280467991166,0.0027122196245983055,0.6178927640130165,0.02076798840142541,0.3834828101644245,0.016944865253731404,0.4730533388732828,0.016478090600059142,True,"{'clf__n_neighbors': 11, 'clf__weights': 'distance'}"
DecisionTree,0.7797951049800238,0.010177734988167703,0.7377511525447494,0.01171292918947302,0.25627444988243,0.009059826910949592,0.7135276532137518,0.02054572501112752,0.37696062175569706,0.010403909394320022,True,"{'clf__max_depth': 10, 'clf__min_samples_split': 10}"
SVM,0.7220793871017311,0.010172572194327191,0.658836258691833,0.006405122160757341,0.19421592349642883,0.005311243118342192,0.6574887892376683,0.017746897622033974,0.2998420616253311,0.00790000088854348,True,{'clf__C': 10}
NaiveBayes,0.6838911717807714,0.009816217872697696,0.15161559417495427,0.020027644279750664,0.11413773311901149,0.0023041836935658658,0.9810014947683108,0.005817299513747288,0.20447511891810838,0.0036796109158173684,False,{'clf__var_smoothing': 1e-07}
