Train,Test,AUC_mean_main,AUC_std_main,CI_lo_main,CI_hi_main,N_train_main,N_test_main,AUC_mean_robust,AUC_std_robust,CI_lo_robust,CI_hi_robust,N_train_robust,N_test_robust,delta_AUC,main_in_robust_CI,noticeable
community,company,0.6956421741785828,0.0058555805310239,0.684331865482236,0.7073288138492633,5353,9700,0.6985311184689592,0.005115007574406,0.6882331069481825,0.7081193461905811,5332,10099,0.0028889442903764495,True,False
community,non-profit,0.6625666966263623,0.0148897381783051,0.6337964524282278,0.6923999571283446,5353,2374,0.6487144555555895,0.0121192706945617,0.6239110230515857,0.671271971978965,5332,2439,-0.013852241070772764,True,False
community,organization or individual,0.6878949880720994,0.0050673385484004,0.6777155195669718,0.6975822091579703,5353,40168,0.6758006546677694,0.003445681065139,0.6687465706342679,0.682458034190232,5332,39639,-0.012094333404329971,False,False
community,university,0.6400989345329207,0.0134218068995566,0.6151146691770416,0.6662067279849366,5353,2403,0.6357284689645656,0.0117166801785821,0.6131881912473863,0.6590034899508241,5332,2488,-0.004370465568355075,True,False
company,community,0.677572348611636,0.0109191105339816,0.6557775076646585,0.698884978895987,9700,5353,0.6801155676943005,0.008332577985981,0.664271804290011,0.6959500740124471,10099,5332,0.0025432190826645273,True,False
company,non-profit,0.689908455391661,0.0144967030357014,0.6612394361909352,0.7180852912404382,9700,2374,0.6885446831593071,0.0114451345863171,0.6647825357168464,0.710922190477213,10099,2439,-0.0013637722323539547,True,False
company,organization or individual,0.6554960183396741,0.0051362175130808,0.6454787611327869,0.6650830429170468,9700,40168,0.6879168120701479,0.0032868558672713,0.6816898165413341,0.6943158039594701,10099,39639,0.032420793730473796,False,True
company,university,0.6598770817437807,0.0130158228993788,0.6343054979763414,0.6857000585994055,9700,2403,0.6492325865856434,0.0105879600029125,0.6284334502539703,0.669766359256344,10099,2488,-0.010644495158137257,True,False
non-profit,community,0.6866427497413079,0.0116839679019268,0.6649863958614156,0.7102680834081224,2374,5353,0.6544323396894454,0.0085971208169252,0.6377045596289049,0.6712609132298927,2439,5332,-0.03221041005186254,False,True
non-profit,company,0.7031167221007217,0.006069052605143,0.6905264215066889,0.7150460846623159,2374,9700,0.7055521305260547,0.0051221585208005,0.69512833325188,0.7153503259686604,2439,10099,0.0024354084253329633,True,False
non-profit,organization or individual,0.681284447638016,0.0051277299453886,0.6713914140339035,0.6909693036571047,2374,40168,0.6797643236153587,0.0033897318484103,0.6733633464599418,0.6862417707753403,2439,39639,-0.001520124022657332,True,False
non-profit,university,0.6389264458519645,0.0132591838099186,0.61252281166385,0.6650644444056945,2374,2403,0.6479389995116377,0.0109085983079988,0.625926919048497,0.6685240196414345,2439,2488,0.00901255365967324,True,False
organization or individual,community,0.6864831088043868,0.0112178350461748,0.6637550824796795,0.7083189694146161,40168,5353,0.6755807241957302,0.0083850034535366,0.6587807430374494,0.6921979903161205,39639,5332,-0.010902384608656557,True,False
organization or individual,company,0.6871889165373879,0.0057630665328954,0.6768368367346992,0.6981984118415284,40168,9700,0.6860109506448536,0.0052973544349205,0.6753200333504225,0.6957511858485536,39639,10099,-0.0011779658925342718,True,False
organization or individual,non-profit,0.6684812046178603,0.0136881346670105,0.64083723008131,0.6949927549186857,40168,2374,0.6683940622229095,0.0117069948573172,0.6441484017730228,0.6904057824651215,39639,2439,-8.71423949507788e-05,True,False
organization or individual,university,0.7161358579231446,0.0130033321362436,0.6891859745101332,0.7395042354999359,40168,2403,0.6536570203845651,0.01133456729013,0.6323123561107955,0.6752965157095525,39639,2488,-0.062478837538579524,False,True
university,community,0.6718226740518151,0.0115395452105884,0.6485580073248075,0.6949603768964627,2403,5353,0.6548331429231028,0.0089065265119206,0.6368186091601229,0.6718462021572843,2488,5332,-0.016989531128712265,True,False
university,company,0.680585368657186,0.0060378040078233,0.6684839045251304,0.6925635972625406,2403,9700,0.6724555128334753,0.0054565893887142,0.6622722116182039,0.6830608030216908,2488,10099,-0.00812985582371073,True,False
university,non-profit,0.6758176402187571,0.0133210968996512,0.6497618747333832,0.7007824328214489,2403,2374,0.6644147675790074,0.0111085358318078,0.6421025450184994,0.6861052278586606,2488,2439,-0.011402872639749706,True,False
university,organization or individual,0.6709290566688887,0.005091856433431,0.6604260000459831,0.6811715135546295,2403,40168,0.6402135675628059,0.0033879523563083,0.6334521997260733,0.646731629796609,2488,39639,-0.030715489106082794,False,True
