Group,N_main,AUC_mean_main,AUC_std_main,N_robust,AUC_mean_robust,AUC_std_robust,delta_AUC,noticeable
community,5298,0.8645840852690995,0.0250939186123776,5319,0.8408109951014996,0.0170438798386502,-0.023773090167599875,False
company,9510,0.8668911856658534,0.0135686561306518,9822,0.847676504366629,0.0125638086704356,-0.019214681299224434,False
non-profit,2317,0.8389168674788305,0.037431497815472,2347,0.7945983525209009,0.0331885089917808,-0.0443185149579296,True
organization or individual,40472,0.8251686691235163,0.0098499899771246,40085,0.7941459218800955,0.0109150126773915,-0.0310227472434208,True
university,2402,0.7654675856794623,0.057103680930391,2421,0.7572167046003172,0.0238135155182121,-0.008250881079145067,False
