Group,N,AUC_mean,AUC_std
Audio,2155,0.7969293546312669,0.03581104422324766
Computer Vision,7698,0.8928455263798909,0.02534728168792007
Multimodal,1869,0.8490017907058002,0.04758689268472876
NLP,27808,0.8838810106278977,0.013173189003618142
Other,20511,0.859598327759382,0.022472088526377564
